# methods:
#    0 default          O(cols) cached degree-2 refs
#    1 exact_d2         O(cols*rowrefs) exact degree-2
#    2 lookahead        O(cols*rowrefs) degree-2 partner potential
#    3 weighted         O(cols*rowrefs) weighted exact/look/fill
#    4 min_fill         O(cols*rowrefs) Markowitz-style fill
#    5 min_fillsq       O(cols*rowrefs) quadratic fill
#    6 dup_partner      O(cols*rowrefs) repeated degree-2 partners
#    7 random_tie       O(cols) seeded randomized default ties
#    8 rowrefs          O(cols) column reference count
#    9 min_row_degree   O(rows*degree) minimum live row
#   10 raptorq_d2cc     O(rows*degree + cols) largest degree-2 component
#   11 topk8_lookfill   O(cols + 8*rowrefs) top-K look/fill
#   12 exact_ratio      O(cols*rowrefs) exact degree-2 per fill
#   13 min_maxrow       O(cols*rowrefs) minimize worst touched row
#   14 d3_support       O(cols*rowrefs) degree-3 support
#   15 rq_minrow        O(rows*degree) Raptor-style minimum row degree
#   16 topk4_lookfill   O(cols + 4*rowrefs) top-K look/fill
#   17 topk16_lookfill  O(cols + 16*rowrefs) top-K look/fill
#   18 rqd2_default     O(rows*degree + cols) largest degree-2 component/default tie
#   19 rqd2_minfill     O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie
#   20 minrow_best      O(rows*degree) best column among all minimum rows
# sweep: trials=40 threads=16 source=loss loss=0.100 overhead=0 rows_override=0 seed=0x5eed1234
method_id,method,cost,N,rows,source,trials,cols_mu,cols_sd,c50,c95,c99,cmax,rows_mu,rows_sd,r50,r95,r99,rmax,comp_mu,maxcomp_mu,sumsq_mu,init_todo_mu,init_d2_mu,choices_mu,build_us,greedy_us,total_us
16,topk4_lookfill,"O(cols + 4*rowrefs) top-K look/fill",2048,2048,loss,40,37.77,4.24,37,45,47,47,37.77,4.24,37,45,47,47,37.77,1.00,37.77,1632.30,837.45,37.77,415.6,223.9,656.2
16,topk4_lookfill,"O(cols + 4*rowrefs) top-K look/fill",32000,32000,loss,40,208.95,16.78,211,231,265,265,208.95,16.78,211,231,265,265,208.15,1.55,210.70,32000.00,15995.83,208.95,5719.5,11966.7,17895.2
17,topk16_lookfill,"O(cols + 16*rowrefs) top-K look/fill",128,128,loss,40,7.70,1.33,8,10,11,11,7.70,1.33,8,10,11,11,3.77,4.80,31.45,114.22,55.48,7.70,34.7,45.2,83.2
17,topk16_lookfill,"O(cols + 16*rowrefs) top-K look/fill",2048,2048,loss,40,37.08,4.70,37,47,48,48,37.08,4.70,37,47,48,48,37.05,1.02,37.12,1639.17,844.70,37.08,440.4,307.2,764.9
17,topk16_lookfill,"O(cols + 16*rowrefs) top-K look/fill",32000,32000,loss,40,207.95,16.32,207,235,252,252,207.95,16.32,207,235,252,252,207.43,1.40,209.10,32000.00,16003.05,207.95,5704.2,18906.5,24821.6
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",128,128,loss,40,7.58,1.51,8,11,11,11,7.58,1.51,8,11,11,11,3.33,5.17,33.73,116.70,55.92,7.58,40.4,36.0,80.2
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",2048,2048,loss,40,36.65,3.31,37,41,45,45,36.65,3.31,37,41,45,45,36.60,1.05,36.75,1344.08,694.77,36.65,444.7,353.6,814.3
18,rqd2_default,"O(rows*degree + cols) largest degree-2 component/default tie",32000,32000,loss,40,196.68,14.42,196,222,236,236,196.68,14.42,196,222,236,236,196.20,1.38,197.62,32000.00,15999.02,196.68,5705.5,38371.9,44287.8
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",128,128,loss,40,7.12,1.31,7,9,10,10,7.12,1.31,7,9,10,10,6.65,1.43,8.22,113.05,55.00,7.12,38.6,54.6,96.2
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",2048,2048,loss,40,35.70,3.66,35,42,43,43,35.70,3.66,35,42,43,43,35.70,1.00,35.70,1650.55,847.20,35.70,445.5,530.4,992.6
19,rqd2_minfill,"O(rows*degree + cols + rowrefs) largest degree-2 component/min-fill tie",32000,32000,loss,40,193.30,14.80,194,219,222,222,193.30,14.80,194,219,222,222,193.30,1.00,193.30,32000.00,16002.40,193.30,5745.6,43319.0,49279.9
20,minrow_best,"O(rows*degree) best column among all minimum rows",128,128,loss,40,7.47,1.47,7,10,12,12,7.47,1.47,7,10,12,12,2.92,5.50,38.58,115.10,56.05,7.47,38.2,66.5,108.5
20,minrow_best,"O(rows*degree) best column among all minimum rows",2048,2048,loss,40,39.33,4.60,40,45,52,52,39.33,4.60,40,45,52,52,39.27,1.05,39.42,1580.15,813.05,39.33,405.3,1029.8,1451.7
20,minrow_best,"O(rows*degree) best column among all minimum rows",32000,32000,loss,40,208.32,15.08,210,233,242,242,208.32,15.08,210,233,242,242,207.60,1.52,209.97,32000.00,16004.05,208.32,5761.8,203946.1,209942.0
