N,overhead,structure,method_id,method,trials,actual_N_mu,matrix_rows_mu,cols_mu,cols_var,cols_sd,c50,c95,c99,rows_mu,rows_var,rows_sd,r50,r95,r99,row_refs_mu,row_xors_mu,matrix_refs_mu,matrix_xors_mu,solve_sparse_xors_mu,solve_dense_xors_est_mu,solve_total_xors_est_mu,combined_xors_mu,build_us,greedy_us,total_us,throughput_per_s
32000,0,lt_m2_c512_fold,42,rqcc_dup,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,216638.3075,12450.1675,229088.475,446754.4275,126235.25,526748.9,653509.5,1.5301996374957059
32000,0,lt_m2_c512_fold,43,rqcc_ratio,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217345.82,12450.1675,229795.9875,447461.94,134232.7,684745.475,819649.925,1.2200330525254424
32000,0,lt_m2_c512_fold,75,ks_boundary_min,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217376.52,12450.1675,229826.6875,447492.64,125626.1,612114.15,738414.1,1.3542536633577285
32000,0,lt_m2_c512_fold,76,ks_boundary_max,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,216410.75,12450.1675,228860.9175,446526.87,119551.875,608882.125,729195.175,1.3713749545860612
32000,0,lt_m2_c512_fold,78,ks_lowref,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217482.7575,12450.1675,229932.925,447598.8775,111255.25,515138.225,627053.225,1.5947609551007413
32000,0,lt_m2_c512_fold,79,ks_random,400,32000.0975,32000.0975,109.8575,381.49719375,19.531953147342946,106,150,164,109.8575,381.49719375,19.531953147342946,106,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217020.9025,12450.1675,229471.07,447137.0225,108262.275,483836.05,592807.775,1.6868874568994983
32000,0,lt_m2_c512_fold,94,hyb_lowref10,400,32000.0975,32000.0975,124.2175,366.30019375000006,19.13897055094657,121,163,175,124.2175,366.30019375000006,19.13897055094657,121,163,175,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,216639.8025,15796.2875,232436.09,450102.0425,109552.15,25865.925,136823.775,7.308671318270528
32000,0,lt_m2_c512_fold,99,hyb_rqbeam,400,32000.0975,32000.0975,111.1525,380.26924375000004,19.50049342324445,108,150,164,111.1525,380.26924375000004,19.50049342324445,108,150,164,7.8020499999999995,6.8020499999999995,249666.05,217665.9525,217347.735,12735.1475,230082.8825,447748.835,110881.325,1728374.375,1842349.975,0.5427850373542626
32000,0,lt_m2_c640,0,default,400,32000.0975,32000.0975,132.76,366.75239999999997,19.15078066293904,130,169,188,132.76,366.75239999999997,19.15078066293904,130,169,188,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,192566.55,17991.97,210558.52,404065.7075,111277.25,17020.675,130163.425,7.682649715156158
32000,0,lt_m2_c640,7,random_tie,400,32000.0975,32000.0975,132.78,369.64660000000003,19.22619567153107,130,169,185,132.78,369.64660000000003,19.22619567153107,130,169,185,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,192566.2125,18000.175,210566.3875,404073.575,106365.9,17035.175,124964.925,8.002245430067676
32000,0,lt_m2_c640,10,raptorq_d2cc,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193378.0325,14206.8625,207584.895,401092.0825,108277.75,50360.55,159965.375,6.251352831823762
32000,0,lt_m2_c640,18,rqd2_default,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,192755.7075,14206.8625,206962.57,400469.7575,110248.775,51297.3,162769.175,6.143669401777087
32000,0,lt_m2_c640,19,rqd2_minfill,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193359.34,14206.8625,207566.2025,401073.39,106208.325,291583.625,398533.275,2.5092007687438396
32000,0,lt_m2_c640,29,top16_lowref,400,32000.0975,32000.0975,134.335,373.85777499999995,19.33540211632538,131,171,184,134.335,373.85777499999995,19.33540211632538,131,171,184,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,192754.4025,18419.75,211174.1525,404681.33999999997,104054.075,18087.95,122727.675,8.14812144041676
32000,0,lt_m2_c640,40,rqcc_lowref,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193378.04,14206.8625,207584.9025,401092.08999999997,103307.7,46422.225,150087.175,6.662794472612334
32000,0,lt_m2_c640,42,rqcc_dup,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,192757.5725,14206.8625,206964.435,400471.6225,106011.575,294045.625,400454.025,2.4971655610153998
32000,0,lt_m2_c640,43,rqcc_ratio,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193254.9775,14206.8625,207461.84,400969.02749999997,107392.125,320826.55,428637.0,2.3329763879459775
32000,0,lt_m2_c640,75,ks_boundary_min,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193266.3275,14206.8625,207473.19,400980.3775,107141.975,305103.575,412656.1,2.423325379171664
32000,0,lt_m2_c640,76,ks_boundary_max,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,192611.15,14206.8625,206818.0125,400325.2,109204.15,331028.275,440686.725,2.269185666983729
32000,0,lt_m2_c640,78,ks_lowref,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193378.035,14206.8625,207584.8975,401092.08499999996,110119.325,314789.05,425380.475,2.3508366245535837
32000,0,lt_m2_c640,79,ks_random,400,32000.0975,32000.0975,117.5975,377.69049375000003,19.434260823350087,116,154,169,117.5975,377.69049375000003,19.434260823350087,116,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193054.41,14206.8625,207261.2725,400768.45999999996,109632.45,307332.8,417459.775,2.3954403750636812
32000,0,lt_m2_c640,94,hyb_lowref10,400,32000.0975,32000.0975,130.485,382.544775,19.558751877356592,128,167,188,130.485,382.544775,19.558751877356592,128,167,188,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,192763.3575,17408.88,210172.2375,403679.425,110304.65,21721.5,132919.25,7.523364749650634
32000,0,lt_m2_c640,99,hyb_rqbeam,400,32000.0975,32000.0975,118.45,370.4125,19.246103501748088,117,154,169,118.45,370.4125,19.246103501748088,117,154,169,7.0470749999999995,6.0470749999999995,225507.285,193507.1875,193252.3075,14400.815,207653.1225,401160.31,114426.675,1217571.075,1334086.525,0.7495765688810927
32000,0,lt_m2_c960,0,default,400,32000.0975,32000.0975,127.4925,439.05994375,20.953757270475382,125,167,195,127.4925,439.05994375,20.953757270475382,125,167,195,7.444825,6.444825,238234.8575,206234.76,205159.41,16693.3975,221852.8075,428087.5675,146852.725,14869.075,162843.875,6.140851168028273
32000,0,lt_m2_c960,7,random_tie,400,32000.0975,32000.0975,127.555,443.826975,21.067201404078332,125,169,196,127.555,443.826975,21.067201404078332,125,169,196,7.444825,6.444825,238234.8575,206234.76,205158.8125,16714.105,221872.9175,428107.6775,143994.525,15989.8,161019.0,6.210447214303902
32000,0,lt_m2_c960,10,raptorq_d2cc,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,206080.33,13042.8125,219123.1425,425357.90249999997,146662.275,54430.475,202231.375,4.944831137107188
32000,0,lt_m2_c960,18,rqd2_default,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,205363.99,13042.8125,218406.8025,424641.5625,144125.05,52638.9,197911.775,5.052756461812341
32000,0,lt_m2_c960,19,rqd2_minfill,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,206047.07,13042.8125,219089.8825,425324.6425,153219.425,446180.9,600783.75,1.66449242343855
32000,0,lt_m2_c960,29,top16_lowref,400,32000.0975,32000.0975,129.8825,434.92369375000004,20.854824232057197,127,172,191,129.8825,434.92369375000004,20.854824232057197,127,172,191,7.444825,6.444825,238234.8575,206234.76,205364.7625,17304.3875,222669.15,428903.91000000003,145075.175,19059.6,165066.475,6.058165354291354
32000,0,lt_m2_c960,40,rqcc_lowref,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,206080.33,13042.8125,219123.1425,425357.90249999997,144535.15,54000.0,199197.1,5.0201534058477755
32000,0,lt_m2_c960,42,rqcc_dup,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,205365.865,13042.8125,218408.6775,424643.4375,147270.425,393926.75,541839.775,1.8455640322824214
32000,0,lt_m2_c960,43,rqcc_ratio,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,205954.515,13042.8125,218997.3275,425232.0875,147219.65,400841.875,548365.25,1.823602060852689
32000,0,lt_m2_c960,75,ks_boundary_min,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,205973.7475,13042.8125,219016.56,425251.32,149340.975,411804.95,561485.25,1.78099068497347
32000,0,lt_m2_c960,76,ks_boundary_max,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,205185.5775,13042.8125,218228.39,424463.15,148373.2,414390.875,563117.85,1.7758272091712242
32000,0,lt_m2_c960,78,ks_lowref,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,206080.3325,13042.8125,219123.145,425357.905,149190.175,398059.6,547613.575,1.8261052056644143
32000,0,lt_m2_c960,79,ks_random,400,32000.0975,32000.0975,112.0925,478.08394375000006,21.86513077367707,108,156,182,112.0925,478.08394375000006,21.86513077367707,108,156,182,7.444825,6.444825,238234.8575,206234.76,205697.5475,13042.8125,218740.36,424975.12,149215.95,407448.75,557029.2,1.7952380234285745
32000,0,lt_m2_c960,94,hyb_lowref10,400,32000.0975,32000.0975,125.4925,454.50994375000005,21.319238817321786,123,165,195,125.4925,454.50994375000005,21.319238817321786,123,165,195,7.444825,6.444825,238234.8575,206234.76,205363.945,16202.8775,221566.8225,427801.5825,148724.2,20361.575,169785.775,5.889774923723734
32000,0,lt_m2_c960,99,hyb_rqbeam,400,32000.0975,32000.0975,112.985,473.599775,21.762347644498284,109,157,181,112.985,473.599775,21.762347644498284,109,157,181,7.444825,6.444825,238234.8575,206234.76,205948.36,13239.21,219187.57,425422.33,150203.5,1099556.925,1251453.45,0.7990708723524634
32000,0,lt_m2_c1024,0,default,400,32000.0975,32000.0975,126.605,412.69397499999997,20.314870784723194,123,168,179,126.605,412.69397499999997,20.314870784723194,123,168,179,7.521100000000001,6.521100000000001,240676.36,208676.2625,207590.0825,16441.52,224031.6025,432707.865,155976.4,12990.425,169289.95,5.907025195529918
32000,0,lt_m2_c1024,7,random_tie,400,32000.0975,32000.0975,126.69,425.9689,20.63901402683762,123,168,178,126.69,425.9689,20.63901402683762,123,168,178,7.521100000000001,6.521100000000001,240676.36,208676.2625,207589.4325,16476.325,224065.7575,432742.02,154259.625,14652.75,169230.375,5.9091046746188445
32000,0,lt_m2_c1024,10,raptorq_d2cc,400,32000.0975,32000.0975,110.465,442.66377500000004,21.039576397827027,106,150,166,110.465,442.66377500000004,21.039576397827027,106,150,166,7.521100000000001,6.521100000000001,240676.36,208676.2625,208521.05,12645.18,221166.23,429842.49250000005,153278.375,48512.975,202050.425,4.949259572208274
32000,0,lt_m2_c1024,18,rqd2_default,400,32000.0975,32000.0975,110.465,442.66377500000004,21.039576397827027,106,150,166,110.465,442.66377500000004,21.039576397827027,106,150,166,7.521100000000001,6.521100000000001,240676.36,208676.2625,207802.4575,12645.18,220447.6375,429123.9,159266.55,52664.625,212586.375,4.703970327355175
32000,0,lt_m2_c1024,19,rqd2_minfill,400,32000.0975,32000.0975,110.465,442.66377500000004,21.039576397827027,106,150,166,110.465,442.66377500000004,21.039576397827027,106,150,166,7.521100000000001,6.521100000000001,240676.36,208676.2625,208486.7225,12645.18,221131.9025,429808.16500000004,160472.525,443925.1,605335.5,1.651976465943266
32000,0,lt_m2_c1024,29,top16_lowref,400,32000.0975,32000.0975,128.4075,428.44644375,20.69894788992909,125,168,179,128.4075,428.44644375,20.69894788992909,125,168,179,7.521100000000001,6.521100000000001,240676.36,208676.2625,207803.4975,16916.9325,224720.43,433396.6925,159756.15,21673.75,182530.35,5.478540965927036
