# peelcost: trials=8 solver=ks_bmax_top16 heavy=6 seed=0xc057c0de
# cost model is a block-XOR proxy: matrix_xors + precode_gen + N*solve_width + solve_width^2/2 + H*solve_width
# precode schemes change width/generation estimates only; rank and constraint-row effects require precode_sim
N,bb,overhead,solver,structure,precode,D,ldpc_cols,dense_rows,H,trials,resid_cols_mu,resid_cols_max,resid_rows_mu,matrix_refs_mu,matrix_xors_mu,legacy_total_xors_mu,solve_width_mu,precode_gen_xors_mu,backsub_xors_mu,ge_block_xors_mu,heavy_muladds_mu,total_block_xors_mu
3200,1280,2,ks_bmax_top16,lt_m2_c512,ldpcdense,55,43,12,6,8,36.6250,49,38.6250,21739.6250,18537.6250,137185.7500,97.6250,17673.0000,312400.0000,4782.0625,585.7500,353978.4375
3200,1280,2,ks_bmax_top16,lt_m2_c1024,dense,62,0,62,6,8,33.6250,42,35.6250,24042.3750,20840.3750,129682.5000,101.6250,8155.0000,325200.0000,5185.9375,609.7500,359991.0625
3200,1280,2,ks_bmax_top16,lt_m2_c1024,ldpcdense,55,43,12,6,8,33.6250,42,35.6250,24042.3750,20840.3750,129682.5000,94.6250,17673.0000,302800.0000,4499.0625,567.7500,346380.1875
3200,1280,2,ks_bmax_top16,robust_d1_001_d2_003,dense,62,0,62,6,8,59.1250,75,61.1250,15005.6250,11803.6250,204709.7500,127.1250,8155.0000,406800.0000,8126.4375,762.7500,435647.8125
3200,1280,2,ks_bmax_top16,robust_d1_001_d2_003,ldpcdense,55,43,12,6,8,59.1250,75,61.1250,15005.6250,11803.6250,204709.7500,120.1250,17673.0000,384400.0000,7261.0625,720.7500,421858.4375
3200,1280,2,ks_bmax_top16,robust_d1_001_d2_012,dense,62,0,62,6,8,90.0000,111,92.0000,14380.5000,11178.5000,307653.0000,158.0000,8155.0000,505600.0000,12579.2500,948.0000,538460.7500
3200,1280,2,ks_bmax_top16,robust_d1_001_d2_012,ldpcdense,55,43,12,6,8,90.0000,111,92.0000,14380.5000,11178.5000,307653.0000,151.0000,17673.0000,483200.0000,11497.7500,906.0000,524455.2500
3200,1280,2,ks_bmax_top16,rs_c001_d50_c128,dense,62,0,62,6,8,39.1250,45,41.1250,17835.8750,14633.8750,141452.7500,107.1250,8155.0000,342800.0000,5742.8125,642.7500,371974.4375
3200,1280,2,ks_bmax_top16,rs_c001_d50_c128,ldpcdense,55,43,12,6,8,39.1250,45,41.1250,17835.8750,14633.8750,141452.7500,100.1250,17673.0000,320400.0000,5017.4375,600.7500,358325.0625
3200,1280,2,ks_bmax_top16,rs_c003_d10_c128,dense,62,0,62,6,8,46.2500,66,48.2500,19501.3750,16299.3750,166613.6250,114.2500,8155.0000,365600.0000,6567.8750,685.5000,397307.7500
3200,1280,2,ks_bmax_top16,rs_c003_d10_c128,ldpcdense,55,43,12,6,8,46.2500,66,48.2500,19501.3750,16299.3750,166613.6250,107.2500,17673.0000,343200.0000,5792.6250,643.5000,383608.5000
32000,1280,0,ks_bmax_top16,policy,dense,190,0,190,6,8,299.8750,348,299.8750,167009.3750,135009.3750,9821616.2500,495.8750,80475.0000,15868000.0000,123286.9375,2975.2500,16209746.5625
32000,1280,0,ks_bmax_top16,policy,ldpcdense,190,190,0,6,8,299.8750,348,299.8750,167009.3750,135009.3750,9821616.2500,495.8750,96190.0000,15868000.0000,123286.9375,2975.2500,16225461.5625
