# dispatch_profile: name=v1 bands=1 band0=k[2,64000]:mixed-p244-frozen-10x2-d4
# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
# encode_timing,N=458,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=109765,seconds_per_k_symbols=0.000109765,symbols_per_sec=4172550.45,median_init_ns=109735,median_symbols_ns=21,sink=0
# encode_timing_phases,N=458,heavy_family=periodic,mix_count=3,median_sysbuild_ns=9174,median_runtime_ns=30,median_solve_build_ns=10486,median_solve_peel_ns=28683,median_solve_project_ns=16224,median_solve_residual_ns=37005,median_solve_backsub_ns=8302
458,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.299,0.026,0.105,0.043,0.107,0.018,0,8694.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=459,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=89575,seconds_per_k_symbols=8.9575e-05,symbols_per_sec=5124197.6,median_init_ns=89555,median_symbols_ns=20,sink=0
# encode_timing_phases,N=459,heavy_family=periodic,mix_count=3,median_sysbuild_ns=8714,median_runtime_ns=30,median_solve_build_ns=9114,median_solve_peel_ns=18047,median_solve_project_ns=13380,median_solve_residual_ns=31848,median_solve_backsub_ns=7932
459,2,periodic,3,0,1,1,0,0,0.00000000,58.000,58,12.000,12,12.000,12,0,0.361,0.029,0.123,0.054,0.135,0.020,0,8242.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=460,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=87963,seconds_per_k_symbols=8.7963e-05,symbols_per_sec=5229471.48,median_init_ns=87943,median_symbols_ns=20,sink=0
# encode_timing_phases,N=460,heavy_family=periodic,mix_count=3,median_sysbuild_ns=8603,median_runtime_ns=30,median_solve_build_ns=8773,median_solve_peel_ns=17817,median_solve_project_ns=15183,median_solve_residual_ns=29224,median_solve_backsub_ns=7831
460,2,periodic,3,0,1,1,0,0,0.00000000,52.000,52,12.000,12,12.000,12,0,0.148,0.014,0.054,0.022,0.049,0.010,0,8198.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=461,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=110476,seconds_per_k_symbols=0.000110476,symbols_per_sec=4172852.02,median_init_ns=110446,median_symbols_ns=30,sink=0
