# dispatch_profile: name=v1 bands=1 band0=k[2,64000]:mixed-p244-frozen-10x2-d4
# precodefail: trials=1 threads=1 loss=0.10000000000000001 seed=0x2b completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=paired full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=1 construction_seed=0xb4c3451ebc64eb35 construction_attempts=1 overhead_early_stop=1 encode_timing_reps=0 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
508,2,periodic,3,0,1,1,0,0,0.00000000,62.000,62,12.000,12,12.000,12,0,0.162,0.015,0.055,0.023,0.059,0.010,0,9145.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
509,2,periodic,3,0,1,1,0,0,0.00000000,65.000,65,12.000,12,12.000,12,0,0.171,0.014,0.056,0.025,0.065,0.010,0,9047.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
510,2,periodic,3,0,1,1,0,0,0.00000000,65.000,65,12.000,12,12.000,12,0,0.177,0.015,0.059,0.026,0.066,0.010,0,9524.000,142.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
511,2,periodic,3,0,1,1,0,0,0.00000000,61.000,61,12.000,12,12.000,12,0,0.169,0.015,0.059,0.026,0.059,0.010,0,9234.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
512,2,periodic,3,0,1,1,0,0,0.00000000,61.000,61,12.000,12,12.000,12,0,0.165,0.015,0.057,0.024,0.059,0.010,0,9083.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
513,2,periodic,3,0,1,1,0,0,0.00000000,62.000,62,12.000,12,12.000,12,0,0.199,0.015,0.057,0.024,0.093,0.010,0,9662.000,3669.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
514,2,periodic,3,0,1,1,0,0,0.00000000,59.000,59,12.000,12,12.000,12,0,0.186,0.015,0.056,0.026,0.079,0.010,0,9846.000,3633.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
515,2,periodic,3,0,1,1,0,0,0.00000000,64.000,64,12.000,12,12.000,12,0,0.372,0.029,0.110,0.045,0.169,0.019,0,9621.000,3693.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
516,2,periodic,3,0,1,1,0,0,0.00000000,60.000,60,12.000,12,12.000,12,0,0.377,0.031,0.113,0.047,0.166,0.020,0,9787.000,3642.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
517,2,periodic,3,0,1,1,0,0,0.00000000,63.000,63,12.000,12,12.000,12,0,0.195,0.018,0.063,0.024,0.080,0.010,0,9798.000,3676.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
