# precodefail: trials=1 threads=1 loss=0 seed=0x1 completion=mixed mixed_period=244 mixed_gf256_rows=10 mixed_gf16_rows=2 mixed_geometry=frozen mixed_residue_skew=0 mixed_residue_schedule=constant mixed_residue_hash_seed=0x0 mixed_residue_hash_keyed=0 mixed_independent_extension_residues=0 mixed_grouped_gf256_rows=0 mixed_grouped_gf256_row_mask=0x0 mixed_grouped_gf256_hash_seed=0x0 mixed_grouped_final_h_a_columns=0 mixed_residue_buckets_requested=auto mixed_extension_residue_seed_xor=0x4e source_hits_override=0 packet_peel_seed_xor=0x0 packet_peel_seed_table=none binary_dense_rows_override=4 binary_dense_two_anchor=0 binary_dense_two_anchor_phase=0 binary_dense_segmented_anchors=none gf256_heavy_rows_override=0 odd_packet_peel_seed_xor=0x0 packet_row_seed_multiplier=0x1 packet_row_seed_avalanche=0 seed_block_bytes_override=0 overhead_stream=salted full_payload_solve=0 schedule=iid
# untuned: construction_seed_explicit=0 construction_seed=0x0 construction_attempts=0 overhead_early_stop=0 encode_timing_reps=9 overhead_ladder_pct=0 overhead_ladder_min=0
N,bb,heavy_family,mix_count,overhead,trials,success,rank_fail,error,fail_rate,inact_mu,inact_max,binary_def_mu,binary_def_max,heavy_gain_mu,heavy_gain_min,heavy_shortfall,solve_ms_mu,build_ms_mu,peel_ms_mu,project_ms_mu,residual_ms_mu,backsub_ms_mu,seed_attempt,block_xors_mu,block_muladds_mu,first_rank_fail,binary_def_hist,heavy_gain_hist,failure_trials,active_packet_peel_seed_xor,mixed_joint_source_xors_mu,mixed_joint_marginal_xors_mu,mixed_joint_marginal_copies_mu,mixed_joint_active_deltas_mu,mixed_joint_scratch_bytes_mu,mixed_dual_source_columns_mu
# encode_timing,N=534,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=140161,seconds_per_k_symbols=0.000140161,symbols_per_sec=3809904.32,median_init_ns=140141,median_symbols_ns=20,sink=0
# encode_timing_phases,N=534,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10636,median_runtime_ns=30,median_solve_build_ns=11477,median_solve_peel_ns=37617,median_solve_project_ns=17366,median_solve_residual_ns=54061,median_solve_backsub_ns=8503
534,2,periodic,3,0,1,1,0,0,0.00000000,73.000,73,12.000,12,12.000,12,0,0.372,0.031,0.124,0.048,0.149,0.021,0,10143.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=535,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=131137,seconds_per_k_symbols=0.000131137,symbols_per_sec=4079702.91,median_init_ns=131117,median_symbols_ns=20,sink=0
# encode_timing_phases,N=535,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10275,median_runtime_ns=30,median_solve_build_ns=11447,median_solve_peel_ns=34802,median_solve_project_ns=17867,median_solve_residual_ns=47592,median_solve_backsub_ns=8613
535,2,periodic,3,0,1,1,0,0,0.00000000,67.000,67,12.000,12,12.000,12,0,0.464,0.042,0.169,0.065,0.165,0.023,0,10190.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=536,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=126891,seconds_per_k_symbols=0.000126891,symbols_per_sec=4224097.85,median_init_ns=126871,median_symbols_ns=20,sink=0
# encode_timing_phases,N=536,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10486,median_runtime_ns=30,median_solve_build_ns=11106,median_solve_peel_ns=33731,median_solve_project_ns=17637,median_solve_residual_ns=44647,median_solve_backsub_ns=8854
536,2,periodic,3,0,1,1,0,0,0.00000000,65.000,65,12.000,12,12.000,12,0,0.411,0.034,0.129,0.070,0.155,0.023,0,9943.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=537,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=136455,seconds_per_k_symbols=0.000136455,symbols_per_sec=3935363.31,median_init_ns=136435,median_symbols_ns=20,sink=0
# encode_timing_phases,N=537,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10466,median_runtime_ns=30,median_solve_build_ns=11227,median_solve_peel_ns=39169,median_solve_project_ns=18208,median_solve_residual_ns=48142,median_solve_backsub_ns=8713
537,2,periodic,3,0,1,1,0,0,0.00000000,68.000,68,12.000,12,12.000,12,0,0.203,0.017,0.070,0.028,0.077,0.011,0,10103.000,143.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=538,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=129354,seconds_per_k_symbols=0.000129354,symbols_per_sec=4159129.21,median_init_ns=129334,median_symbols_ns=20,sink=0
# encode_timing_phases,N=538,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10576,median_runtime_ns=30,median_solve_build_ns=11227,median_solve_peel_ns=34912,median_solve_project_ns=17336,median_solve_residual_ns=46290,median_solve_backsub_ns=8513
538,2,periodic,3,0,1,1,0,0,0.00000000,66.000,66,12.000,12,12.000,12,0,0.177,0.016,0.061,0.024,0.065,0.010,0,9914.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=539,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=132018,seconds_per_k_symbols=0.000132018,symbols_per_sec=4082776.59,median_init_ns=131998,median_symbols_ns=20,sink=0
# encode_timing_phases,N=539,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10205,median_runtime_ns=30,median_solve_build_ns=11587,median_solve_peel_ns=37236,median_solve_project_ns=18458,median_solve_residual_ns=45478,median_solve_backsub_ns=8563
539,2,periodic,3,0,1,1,0,0,0.00000000,64.000,64,12.000,12,12.000,12,0,0.359,0.031,0.131,0.051,0.125,0.020,0,10252.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=540,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=113550,seconds_per_k_symbols=0.00011355,symbols_per_sec=4755614.27,median_init_ns=113530,median_symbols_ns=20,sink=0
# encode_timing_phases,N=540,heavy_family=periodic,mix_count=3,median_sysbuild_ns=10435,median_runtime_ns=30,median_solve_build_ns=10736,median_solve_peel_ns=30887,median_solve_project_ns=18147,median_solve_residual_ns=33971,median_solve_backsub_ns=8873
540,2,periodic,3,0,1,1,0,0,0.00000000,53.000,53,12.000,12,12.000,12,0,0.172,0.016,0.064,0.028,0.054,0.011,0,9488.000,144.000,-1,12:1,12:1,,0x0,0.000,0.000,0.000,0.000,0.000,0.000
# encode_timing,N=541,bb=2,heavy_family=periodic,mix_count=3,reps=9,solve_ok=1,solve_block_bytes=2,median_ns=120731,seconds_per_k_symbols=0.000120731,symbols_per_sec=4481036.35,median_init_ns=120711,median_symbols_ns=20,sink=0
