# scan: threads=96 N=[2048,24000] trials/N=200 bb=64 startMode=0 loss=0.10 thresh=0.100
WEAK N=15620  mean=0.7450 max=145 fail=0
WEAK N=15661  mean=57.1100 max=2897 fail=0
WEAK N=15722  mean=1.0150 max=36 fail=0
WEAK N=15734  mean=0.3700 max=63 fail=0
WEAK N=15727  mean=3.4000 max=677 fail=0
WEAK N=15711  mean=0.5650 max=111 fail=0
WEAK N=15743  mean=0.1400 max=20 fail=0
WEAK N=15832  mean=0.6400 max=127 fail=0
WEAK N=15830  mean=0.3400 max=66 fail=0
WEAK N=15888  mean=0.2750 max=50 fail=0
WEAK N=15896  mean=0.4450 max=54 fail=0
WEAK N=15905  mean=0.3350 max=65 fail=0
WEAK N=15964  mean=8.7250 max=1740 fail=0
WEAK N=15943  mean=1.4300 max=285 fail=0
WEAK N=16025  mean=0.2600 max=23 fail=0
WEAK N=15997  mean=20.1800 max=2026 fail=0
WEAK N=16049  mean=6.9300 max=1383 fail=0
WEAK N=16137  mean=2.8000 max=557 fail=0
WEAK N=16101  mean=24.3350 max=4861 fail=0
WEAK N=16151  mean=0.5100 max=97 fail=0
WEAK N=16168  mean=0.1150 max=16 fail=0
WEAK N=16290  mean=3.4350 max=680 fail=0
WEAK N=16305  mean=4.0800 max=815 fail=0
WEAK N=16402  mean=0.5250 max=101 fail=0
WEAK N=16484  mean=2.8850 max=202 fail=0
WEAK N=16494  mean=59.6650 max=3011 fail=0
WEAK N=16526  mean=8.7900 max=1754 fail=0
WEAK N=16561  mean=16.0750 max=3212 fail=0
WEAK N=16565  mean=1.8550 max=125 fail=0
WEAK N=16629  mean=0.2600 max=28 fail=0
WEAK N=16719  mean=13.6950 max=2262 fail=0
WEAK N=16679  mean=7.3050 max=1457 fail=0
WEAK N=16720  mean=5.0150 max=869 fail=0
WEAK N=16746  mean=0.7600 max=149 fail=0
WEAK N=16770  mean=20.2100 max=2048 fail=0
WEAK N=16835  mean=0.8400 max=164 fail=0
WEAK N=16872  mean=2.7050 max=539 fail=0
WEAK N=16877  mean=3.7250 max=739 fail=0
WEAK N=16868  mean=11.1000 max=2215 fail=0
WEAK N=16843  mean=12.7300 max=2545 fail=0
WEAK N=16851  mean=0.1800 max=18 fail=0
WEAK N=16905  mean=5.0400 max=1003 fail=0
WEAK N=16882  mean=1.7200 max=308 fail=0
WEAK N=16904  mean=1.0900 max=213 fail=0
WEAK N=16930  mean=0.3850 max=72 fail=0
WEAK N=16997  mean=0.4200 max=71 fail=0
WEAK N=16999  mean=0.1850 max=32 fail=0
WEAK N=16983  mean=0.1550 max=26 fail=0
WEAK N=16990  mean=2.2550 max=448 fail=0
WEAK N=17007  mean=0.1850 max=14 fail=1
WEAK N=17033  mean=0.3800 max=25 fail=0
WEAK N=17036  mean=0.5600 max=31 fail=0
WEAK N=17079  mean=0.2700 max=17 fail=0
WEAK N=17127  mean=1.9300 max=49 fail=0
WEAK N=17177  mean=5.7750 max=402 fail=0
WEAK N=17146  mean=0.2950 max=46 fail=0
WEAK N=17160  mean=1.9400 max=327 fail=0
WEAK N=17252  mean=1.7450 max=211 fail=0
WEAK N=17349  mean=0.1550 max=28 fail=0
WEAK N=17444  mean=0.1900 max=29 fail=0
WEAK N=17463  mean=10.4900 max=2096 fail=0
WEAK N=17499  mean=6.3100 max=1257 fail=0
WEAK N=17561  mean=0.3100 max=60 fail=0
WEAK N=17629  mean=1.3950 max=248 fail=0
WEAK N=17660  mean=0.1900 max=33 fail=0
WEAK N=17616  mean=2.7800 max=555 fail=0
WEAK N=17662  mean=0.6900 max=134 fail=0
WEAK N=17696  mean=0.2250 max=32 fail=0
WEAK N=17697  mean=8.7400 max=1743 fail=0
WEAK N=17677  mean=0.3400 max=33 fail=0
WEAK N=17728  mean=0.1050 max=20 fail=0
WEAK N=17771  mean=0.2400 max=44 fail=0
WEAK N=17735  mean=2.1100 max=155 fail=0
WEAK N=17827  mean=0.3350 max=51 fail=0
WEAK N=17799  mean=0.3800 max=35 fail=0
WEAK N=17839  mean=2.2200 max=440 fail=0
WEAK N=17857  mean=11.1900 max=2236 fail=0
WEAK N=17891  mean=1.2350 max=222 fail=0
WEAK N=17901  mean=0.4600 max=81 fail=0
WEAK N=17890  mean=1.0450 max=72 fail=0
WEAK N=17908  mean=0.1300 max=19 fail=0
WEAK N=17980  mean=0.9550 max=184 fail=0
WEAK N=17936  mean=0.1500 max=27 fail=0
WEAK N=17973  mean=0.2650 max=19 fail=0
WEAK N=18022  mean=0.1400 max=19 fail=0
WEAK N=18097  mean=1.0650 max=199 fail=0
WEAK N=18102  mean=0.1700 max=32 fail=0
WEAK N=18142  mean=19.6350 max=3923 fail=0
WEAK N=18166  mean=9.5700 max=998 fail=0
WEAK N=18184  mean=0.2350 max=21 fail=0
WEAK N=18233  mean=0.3250 max=61 fail=0
WEAK N=18241  mean=0.7350 max=75 fail=0
WEAK N=18276  mean=0.3950 max=31 fail=0
WEAK N=18315  mean=0.3100 max=54 fail=0
WEAK N=18361  mean=17.7800 max=3549 fail=0
WEAK N=18396  mean=0.2200 max=41 fail=0
WEAK N=18474  mean=2.8750 max=570 fail=0
WEAK N=18542  mean=0.1950 max=36 fail=0
WEAK N=18540  mean=0.2200 max=39 fail=0
WEAK N=18546  mean=77.5850 max=2337 fail=0
WEAK N=18599  mean=14.3700 max=966 fail=0
WEAK N=18615  mean=0.3200 max=32 fail=1
WEAK N=18651  mean=4.3250 max=862 fail=0
WEAK N=18627  mean=0.1200 max=13 fail=0
WEAK N=18645  mean=0.3700 max=69 fail=0
WEAK N=18666  mean=0.5550 max=109 fail=0
WEAK N=18716  mean=35.5900 max=3643 fail=0
WEAK N=18760  mean=95.3950 max=3232 fail=0
WEAK N=18733  mean=5.9450 max=1183 fail=0
WEAK N=18736  mean=2.2050 max=436 fail=0
WEAK N=18732  mean=0.4250 max=81 fail=0
WEAK N=18743  mean=0.3900 max=75 fail=0
WEAK N=18802  mean=5.8600 max=1169 fail=0
WEAK N=18796  mean=0.6000 max=116 fail=0
WEAK N=18790  mean=1.0300 max=201 fail=0
WEAK N=18791  mean=1.0750 max=59 fail=0
WEAK N=18804  mean=31.4000 max=2244 fail=0
WEAK N=18810  mean=7.6500 max=1525 fail=0
WEAK N=18875  mean=1.3600 max=265 fail=0
WEAK N=18851  mean=40.2500 max=2713 fail=0
WEAK N=18866  mean=29.6700 max=2974 fail=0
WEAK N=18925  mean=25.8650 max=1316 fail=0
WEAK N=18889  mean=11.3200 max=2263 fail=0
WEAK N=18906  mean=0.5200 max=29 fail=0
WEAK N=18910  mean=6.7550 max=1345 fail=0
WEAK N=18922  mean=0.2800 max=34 fail=0
WEAK N=18933  mean=10.1850 max=2035 fail=0
WEAK N=18969  mean=0.3300 max=18 fail=0
WEAK N=19045  mean=0.5700 max=32 fail=0
WEAK N=19021  mean=1.4500 max=149 fail=0
WEAK N=19030  mean=0.1300 max=18 fail=0
WEAK N=19058  mean=0.2350 max=47 fail=0
WEAK N=19056  mean=0.5250 max=101 fail=0
WEAK N=19067  mean=0.8600 max=150 fail=0
WEAK N=19113  mean=0.1650 max=30 fail=0
WEAK N=19142  mean=11.2050 max=2233 fail=0
WEAK N=19118  mean=0.2250 max=25 fail=0
WEAK N=19150  mean=0.1950 max=33 fail=0
WEAK N=19127  mean=0.1150 max=19 fail=0
WEAK N=19168  mean=0.1400 max=22 fail=0
WEAK N=19173  mean=0.5450 max=64 fail=0
WEAK N=19185  mean=0.2950 max=56 fail=0
WEAK N=19224  mean=3.2900 max=652 fail=0
WEAK N=19237  mean=5.1800 max=1031 fail=0
WEAK N=19247  mean=0.3400 max=60 fail=0
WEAK N=19299  mean=0.2200 max=16 fail=0
WEAK N=19277  mean=6.4000 max=1276 fail=0
WEAK N=19311  mean=1.0450 max=185 fail=0
WEAK N=19352  mean=0.4150 max=79 fail=0
WEAK N=19377  mean=37.5150 max=3796 fail=0
WEAK N=19393  mean=20.6200 max=4122 fail=0
WEAK N=19389  mean=0.2850 max=54 fail=0
WEAK N=19510  mean=0.1400 max=14 fail=0
WEAK N=19491  mean=1.4350 max=110 fail=0
WEAK N=19528  mean=0.3700 max=40 fail=0
WEAK N=19541  mean=0.2450 max=46 fail=0
WEAK N=19526  mean=0.6900 max=95 fail=0
WEAK N=19561  mean=46.1200 max=5312 fail=0
WEAK N=19590  mean=0.1850 max=33 fail=0
WEAK N=19557  mean=2.2250 max=440 fail=0
WEAK N=19556  mean=0.4550 max=46 fail=0
WEAK N=19609  mean=0.1250 max=13 fail=0
WEAK N=19583  mean=1.6650 max=332 fail=0
WEAK N=19677  mean=0.2250 max=38 fail=0
WEAK N=19634  mean=0.3300 max=27 fail=0
WEAK N=19701  mean=0.8850 max=175 fail=0
WEAK N=19696  mean=0.6350 max=69 fail=0
WEAK N=19690  mean=1.8650 max=369 fail=0
WEAK N=19741  mean=0.2400 max=42 fail=0
WEAK N=19703  mean=0.4550 max=68 fail=0
WEAK N=19722  mean=0.6050 max=43 fail=0
WEAK N=19783  mean=0.5950 max=116 fail=0
WEAK N=19791  mean=0.8350 max=53 fail=0
WEAK N=19809  mean=0.2350 max=45 fail=0
WEAK N=19793  mean=6.5350 max=1303 fail=0
WEAK N=19813  mean=0.1200 max=22 fail=0
WEAK N=19868  mean=0.4300 max=37 fail=0
WEAK N=19845  mean=2.4500 max=488 fail=0
WEAK N=19897  mean=0.1650 max=31 fail=0
WEAK N=19861  mean=2.0900 max=417 fail=0
WEAK N=19942  mean=2.1850 max=434 fail=0
WEAK N=19943  mean=0.1300 max=25 fail=0
WEAK N=19990  mean=2.3700 max=469 fail=0
WEAK N=20037  mean=4.0550 max=805 fail=0
WEAK N=20160  mean=5.2600 max=1048 fail=0
WEAK N=20133  mean=0.8300 max=159 fail=0
WEAK N=20152  mean=2.4000 max=477 fail=0
WEAK N=20159  mean=2.8950 max=576 fail=0
WEAK N=20158  mean=0.1200 max=24 fail=0
WEAK N=20180  mean=5.0300 max=429 fail=0
WEAK N=20243  mean=0.6000 max=54 fail=0
WEAK N=20201  mean=7.7800 max=1550 fail=0
WEAK N=20224  mean=27.1350 max=5425 fail=0
WEAK N=20233  mean=1.0950 max=60 fail=0
WEAK N=20247  mean=19.2650 max=3848 fail=0
WEAK N=20287  mean=0.1550 max=28 fail=0
WEAK N=20334  mean=0.7400 max=143 fail=0
WEAK N=20416  mean=0.2500 max=20 fail=0
WEAK N=20478  mean=0.1600 max=18 fail=0
WEAK N=20459  mean=0.3750 max=70 fail=0
WEAK N=20496  mean=1.1500 max=227 fail=0
WEAK N=20509  mean=0.1950 max=34 fail=0
WEAK N=20516  mean=12.9850 max=2592 fail=0
WEAK N=20587  mean=0.1500 max=15 fail=0
WEAK N=20675  mean=45.5850 max=9111 fail=0
WEAK N=20684  mean=4.3750 max=870 fail=0
WEAK N=20688  mean=9.9200 max=1979 fail=0
WEAK N=20693  mean=0.8200 max=157 fail=0
WEAK N=20699  mean=5.3350 max=1062 fail=0
WEAK N=20817  mean=0.6850 max=83 fail=0
WEAK N=20822  mean=24.8400 max=4963 fail=0
WEAK N=20857  mean=0.2200 max=39 fail=0
WEAK N=20866  mean=0.7350 max=121 fail=0
WEAK N=20948  mean=3.8000 max=752 fail=0
WEAK N=20978  mean=0.3500 max=64 fail=0
WEAK N=20991  mean=4.9350 max=983 fail=0
WEAK N=21031  mean=0.7950 max=158 fail=0
WEAK N=21015  mean=6.8100 max=1359 fail=0
WEAK N=21056  mean=0.4050 max=77 fail=0
WEAK N=21043  mean=0.1950 max=37 fail=0
WEAK N=21067  mean=15.3650 max=3070 fail=0
WEAK N=21116  mean=6.4500 max=1287 fail=0
WEAK N=21083  mean=34.0350 max=3472 fail=0
WEAK N=21161  mean=1.4250 max=219 fail=0
WEAK N=21131  mean=33.1550 max=1713 fail=0
WEAK N=21178  mean=0.3500 max=24 fail=0
WEAK N=21163  mean=0.4200 max=19 fail=0
WEAK N=21182  mean=39.0850 max=5960 fail=0
WEAK N=21183  mean=0.6850 max=133 fail=0
WEAK N=21231  mean=0.5050 max=61 fail=0
WEAK N=21337  mean=8.6300 max=906 fail=0
WEAK N=21343  mean=0.9150 max=175 fail=0
WEAK N=21365  mean=7.4000 max=1474 fail=0
WEAK N=21400  mean=0.1050 max=17 fail=0
WEAK N=21463  mean=0.1100 max=15 fail=0
WEAK N=21449  mean=0.2000 max=35 fail=0
WEAK N=21502  mean=1.0800 max=71 fail=0
WEAK N=21500  mean=13.7850 max=618 fail=0
WEAK N=21516  mean=0.6700 max=76 fail=0
WEAK N=21556  mean=0.2700 max=17 fail=0
WEAK N=21629  mean=1.7150 max=160 fail=0
WEAK N=21631  mean=0.8350 max=164 fail=0
WEAK N=21618  mean=0.1250 max=14 fail=0
WEAK N=21655  mean=8.3850 max=1674 fail=0
WEAK N=21699  mean=0.5150 max=91 fail=0
WEAK N=21705  mean=6.1450 max=268 fail=0
WEAK N=21706  mean=147.9050 max=5957 fail=0
WEAK N=21747  mean=0.5000 max=85 fail=0
WEAK N=21731  mean=3.2150 max=640 fail=0
WEAK N=21736  mean=0.1650 max=31 fail=0
WEAK N=21769  mean=0.8750 max=166 fail=0
WEAK N=21831  mean=1.7550 max=153 fail=0
WEAK N=21813  mean=86.5950 max=1367 fail=0
WEAK N=21814  mean=0.1850 max=35 fail=0
WEAK N=21849  mean=0.1600 max=28 fail=0
WEAK N=21815  mean=23.7200 max=4743 fail=0
WEAK N=21834  mean=0.4950 max=89 fail=0
WEAK N=21869  mean=0.1550 max=24 fail=0
WEAK N=21833  mean=4.0900 max=813 fail=0
WEAK N=21928  mean=2.0000 max=251 fail=0
WEAK N=22046  mean=0.6300 max=30 fail=0
WEAK N=22018  mean=2.1750 max=208 fail=0
WEAK N=22045  mean=0.1100 max=18 fail=0
WEAK N=22092  mean=2.8500 max=564 fail=0
WEAK N=22192  mean=0.1400 max=27 fail=0
WEAK N=22198  mean=1.0150 max=200 fail=0
WEAK N=22237  mean=0.1950 max=36 fail=0
WEAK N=22206  mean=0.5950 max=106 fail=0
WEAK N=22275  mean=1.0950 max=132 fail=0
WEAK N=22310  mean=0.1200 max=20 fail=0
WEAK N=22354  mean=0.4550 max=85 fail=0
WEAK N=22420  mean=0.6250 max=114 fail=0
WEAK N=22424  mean=7.8650 max=826 fail=0
WEAK N=22428  mean=15.4050 max=3075 fail=0
WEAK N=22429  mean=7.9250 max=1583 fail=0
WEAK N=22513  mean=53.9000 max=10779 fail=0
WEAK N=22539  mean=0.3350 max=49 fail=0
WEAK N=22552  mean=4.2250 max=469 fail=0
WEAK N=22562  mean=0.5150 max=99 fail=0
WEAK N=22613  mean=0.1800 max=23 fail=0
WEAK N=22685  mean=0.1100 max=19 fail=0
WEAK N=22707  mean=0.8700 max=70 fail=0
